contest,candidate,vote_type,precinct,votes
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0304 CIN 3-D,45
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0305 CIN 3-E,67
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0401 CIN 4-A,82
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0402 CIN 4-B,101
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0403 CIN 4-C,93
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0404 CIN 4-D,99
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0405 CIN 4-E,78
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0406 CIN 4-F,90
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0407 CIN 4-G,80
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0408 CIN 4-H,116
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0501 CIN 5-A,88
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0502 CIN 5-B,83
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0503 CIN 5-C,108
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0504 CIN 5-D,133
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0505 CIN 5-E,110
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0506 CIN 5-F,63
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0507 CIN 5-G,85
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0508 CIN 5-H,50
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0509 CIN 5-I,68
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0601 CIN 6-A,61
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0602 CIN 6-B,51
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0603 CIN 6-C,46
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0604 CIN 6-D,65
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0605 CIN 6-E,69
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0701 CIN 7-A,90
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0702 CIN 7-B,26
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0703 CIN 7-C,81
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0704 CIN 7-D,58
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0705 CIN 7-E,62
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0706 CIN 7-F,63
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0707 CIN 7-G,70
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0708 CIN 7-H,42
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0709 CIN 7-I,93
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0710 CIN 7-J,29
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0711 CIN 7-K,53
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0801 CIN 8-A,71
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0802 CIN 8-B,78
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0803 CIN 8-C,125
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0804 CIN 8-D,64
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0901 CIN 9-A,23
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0902 CIN 9-B,100
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0903 CIN 9-C,57
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,0904 CIN 9-D,36
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1001 CIN 10-A,44
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1002 CIN 10-B,25
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1003 CIN 10-C,50
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1101 CIN 11-A,37
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1102 CIN 11-B,26
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1103 CIN 11-C,6
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1104 CIN 11-D,25
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1201 CIN 12-A,14
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1202 CIN 12-B,0
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1203 CIN 12-C,13
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1204 CIN 12-D,51
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1205 CIN 12-E,10
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1301 CIN 13-A,23
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1302 CIN 13-B,64
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1303 CIN 13-C,39
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1304 CIN 13-D,41
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1305 CIN 13-E,166
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1306 CIN 13-F,93
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1307 CIN 13-G,45
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1308 CIN 13-H,2
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1401 CIN 14-A,134
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1402 CIN 14-B,74
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1403 CIN 14-C,38
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1404 CIN 14-D,134
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1405 CIN 14-E,113
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1406 CIN 14-F,97
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1407 CIN 14-G,86
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1408 CIN 14-H,98
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1409 CIN 14-I,103
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1501 CIN 15-A,62
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1502 CIN 15-B,100
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1503 CIN 15-C,23
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1504 CIN 15-D,29
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1505 CIN 15-E,86
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1506 CIN 15-F,98
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1507 CIN 15-G,51
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1508 CIN 15-H,129
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1509 CIN 15-I,74
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1510 CIN 15-J,32
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1601 CIN 16-A,34
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1701 CIN 17-A,19
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1702 CIN 17-B,67
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1703 CIN 17-C,26
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1801 CIN 18-A,31
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1802 CIN 18-B,13
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1901 CIN 19-A,12
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1902 CIN 19-B,13
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1903 CIN 19-C,30
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,1904 CIN 19-D,3
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2001 CIN 20-A,16
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2002 CIN 20-B,15
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2003 CIN 20-C,44
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2004 CIN 20-D,43
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2005 CIN 20-E,10
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2101 CIN 21-A,9
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2102 CIN 21-B,4
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2103 CIN 21-C,12
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2104 CIN 21-D,14
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2105 CIN 21-E,6
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2201 CIN 22-A,61
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2202 CIN 22-B,21
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2203 CIN 22-C,23
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2301 CIN 23-A,91
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2302 CIN 23-B,34
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2303 CIN 23-C,96
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2304 CIN 23-D,66
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2305 CIN 23-E,41
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2306 CIN 23-F,67
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2307 CIN 23-G,35
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2308 CIN 23-H,99
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2309 CIN 23-I,68
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2310 CIN 23-J,42
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2311 CIN 23-K,58
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2312 CIN 23-L,18
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2313 CIN 23-M,55
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2314 CIN 23-N,57
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2315 CIN 23-O,105
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2316 CIN 23-P,48
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2317 CIN 23-Q,72
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2318 CIN 23-R,36
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2401 CIN 24-A,89
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2402 CIN 24-B,48
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2403 CIN 24-C,37
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2404 CIN 24-D,37
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2405 CIN 24-E,8
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2406 CIN 24-F,61
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2407 CIN 24-G,47
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2408 CIN 24-H,5
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2409 CIN 24-I,1
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2501 CIN 25-A,24
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2502 CIN 25-B,7
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2503 CIN 25-C,27
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2504 CIN 25-D,25
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2505 CIN 25-E,29
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2506 CIN 25-F,22
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2507 CIN 25-G,12
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2508 CIN 25-H,35
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2509 CIN 25-I,17
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2510 CIN 25-J,29
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2511 CIN 25-K,18
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2512 CIN 25-L,7
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2601 CIN 26-A,35
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2602 CIN 26-B,32
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2603 CIN 26-C,19
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2604 CIN 26-D,16
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2605 CIN 26-E,29
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2606 CIN 26-F,17
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2607 CIN 26-G,19
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2608 CIN 26-H,3
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2609 CIN 26-I,32
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2610 CIN 26-J,37
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2611 CIN 26-K,29
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2612 CIN 26-L,26
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2613 CIN 26-M,13
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2614 CIN 26-N,26
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2615 CIN 26-O,30
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2616 CIN 26-P,48
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2617 CIN 26-Q,28
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2618 CIN 26-R,28
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2619 CIN 26-S,25
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2911 CHEV 1-A,22
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2921 CHEV 2-A,11
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2931 CHEV 3-A,16
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,2941 CHEV 4-A,30
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,3803 MADRA C,0
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,3808 MADRA H,0
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,5501 AMBER A,19
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,5502 AMBER B,37
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,5503 AMBER C,19
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,5504 AMBER D,31
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,6201 COLUM A,4
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,6202 COLUM B,11
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,6203 COLUM C,28
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,6204 COLUM D,21
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,6205 COLUM E,16
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,6206 COLUM F,18
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,6209 COLUM I,3
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,6502 DELHI B,3
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,6505 DELHI E,1
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,6516 DELHI P,2
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,6517 DELHI Q,1
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,6518 DELHI R,0
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,6901 FAIRFX A,0
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,7101 GOLF A,32
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,7102 GOLF B,30
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,7302 GREEN B,19
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,7303 GREEN C,2
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,7305 GREEN E,9
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,7308 GREEN H,18
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,7323 GREEN W,3
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,7327 GREEN AA,15
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,7328 GREEN BB,3
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,7332 GREEN FF,8
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,7336 GREEN JJ,10
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,8601 SILVT A,33
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,8602 SILVT B,47
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,8603 SILVT C,46
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,8705 SPFLD E,18
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,8709 SPFLD I,8
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,8712 SPFLD L,3
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,8714 SPFLD N,0
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Kari T. Armbruster,Early,8908 SYCAM H,13
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0101 CIN 1-A,26
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0102 CIN 1-B,110
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0103 CIN 1-C,55
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0104 CIN 1-D,68
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0105 CIN 1-E,73
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0106 CIN 1-F,79
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0107 CIN 1-G,68
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0108 CIN 1-H,25
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0109 CIN 1-I,88
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0110 CIN 1-J,69
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0111 CIN 1-K,54
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0112 CIN 1-L,56
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0113 CIN 1-M,63
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0201 CIN 2-A,101
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0202 CIN 2-B,88
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0203 CIN 2-C,45
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0204 CIN 2-D,146
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0205 CIN 2-E,65
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0206 CIN 2-F,152
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0207 CIN 2-G,67
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0208 CIN 2-H,37
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0209 CIN 2-I,57
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0210 CIN 2-J,53
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0211 CIN 2-K,78
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0301 CIN 3-A,75
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0302 CIN 3-B,48
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0303 CIN 3-C,50
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0304 CIN 3-D,81
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0305 CIN 3-E,77
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0401 CIN 4-A,62
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0402 CIN 4-B,42
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0403 CIN 4-C,48
CINCINNATI CITY SCHOOL DISTRICT For Member of Board of Education,Marcia A. Futel,Election,0404 CIN 4-D,85
