Council at Large (Vote For 9)
                                                            Jan-Michele Lemon Kearney                                                                 Scotty Johnson                                                                            Meeka D. Owens                                                                            Anna Albi                                                                                 Mark Jeffreys                                                                             Seth Walsh                                                                                Jeff Cramerding                                                                           Evan Nolan                                                                                Ryan James                                                                                Liz Keating                                                                               Christopher E. C. Smitherman                                                              Laketa Cole                                                                               Linda Matthews                                                                            Don Driehaus                                                                              Gary Favors                                                                               Steven P. Goodin                                                                          Dale Mallory                                                                              Dawn Johnson                                                                              Aaron Weiner                                                                              Raffel Prophett                                                                           Stephan Pryor                                                                             Jerry Corbett                                                                             Audricia Brooks                                                                           Donald Washington                                                                         Brandon Nixon                                                                             Kevin Farmer                                                                              Brian Ennix (W)                                                                           
Precinct                      Registered Voters             Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Election                      Early                         Choice Total                  Total                         
2507 CIN 25-G                 599                           57                            11                            68                            52                            12                            64                            53                            11                            64                            50                            11                            61                            55                            13                            68                            53                            8                             61                            64                            9                             73                            53                            10                            63                            55                            11                            66                            60                            8                             68                            51                            4                             55                            25                            1                             26                            31                            2                             33                            46                            2                             48                            26                            1                             27                            26                            3                             29                            7                             4                             11                            14                            2                             16                            16                            0                             16                            10                            3                             13                            12                            3                             15                            11                            1                             12                            8                             0                             8                             11                            0                             11                            2                             0                             2                             9                             2                             11                            0                             0                             0                             989                           
2508 CIN 25-H                 1409                          157                           34                            191                           145                           37                            182                           156                           33                            189                           146                           30                            176                           167                           31                            198                           148                           28                            176                           135                           28                            163                           115                           28                            143                           126                           21                            147                           166                           25                            191                           130                           20                            150                           69                            18                            87                            95                            8                             103                           80                            17                            97                            90                            7                             97                            83                            10                            93                            49                            7                             56                            33                            8                             41                            47                            4                             51                            29                            2                             31                            42                            6                             48                            35                            7                             42                            31                            3                             34                            26                            3                             29                            30                            6                             36                            25                            4                             29                            2                             0                             2                             2782                          
2509 CIN 25-I                 1204                          113                           16                            129                           102                           16                            118                           106                           17                            123                           94                            17                            111                           112                           20                            132                           103                           16                            119                           132                           16                            148                           90                            12                            102                           89                            12                            101                           161                           20                            181                           134                           21                            155                           61                            9                             70                            82                            11                            93                            140                           14                            154                           83                            9                             92                            87                            15                            102                           39                            3                             42                            41                            5                             46                            35                            7                             42                            17                            2                             19                            23                            3                             26                            19                            2                             21                            23                            2                             25                            21                            2                             23                            21                            0                             21                            24                            5                             29                            0                             0                             0                             2224                          
2510 CIN 25-J                 1185                          123                           34                            157                           129                           36                            165                           118                           30                            148                           93                            21                            114                           104                           29                            133                           102                           21                            123                           85                            26                            111                           93                            25                            118                           81                            22                            103                           59                            14                            73                            60                            16                            76                            78                            14                            92                            36                            8                             44                            50                            7                             57                            29                            5                             34                            28                            4                             32                            42                            13                            55                            49                            5                             54                            24                            3                             27                            25                            4                             29                            31                            9                             40                            10                            4                             14                            12                            3                             15                            16                            5                             21                            6                             3                             9                             8                             3                             11                            0                             0                             0                             1855                          
2511 CIN 25-K                 1439                          129                           21                            150                           126                           21                            147                           133                           18                            151                           118                           18                            136                           123                           22                            145                           133                           23                            156                           117                           21                            138                           99                            17                            116                           96                            10                            106                           105                           20                            125                           106                           20                            126                           73                            7                             80                            60                            5                             65                            80                            13                            93                            42                            3                             45                            50                            6                             56                            28                            5                             33                            43                            3                             46                            38                            4                             42                            23                            3                             26                            30                            2                             32                            18                            1                             19                            21                            1                             22                            22                            1                             23                            20                            0                             20                            28                            0                             28                            0                             0                             0                             2126                          
2512 CIN 25-L                 787                           50                            7                             57                            49                            8                             57                            54                            8                             62                            43                            6                             49                            44                            6                             50                            46                            6                             52                            42                            6                             48                            41                            8                             49                            42                            7                             49                            18                            2                             20                            19                            2                             21                            31                            0                             31                            7                             3                             10                            13                            0                             13                            3                             2                             5                             13                            1                             14                            16                            2                             18                            18                            1                             19                            13                            0                             13                            8                             1                             9                             14                            1                             15                            2                             0                             2                             3                             1                             4                             5                             1                             6                             6                             1                             7                             3                             1                             4                             0                             0                             0                             684                           
2601 CIN 26-A                 1301                          238                           35                            273                           210                           29                            239                           228                           29                            257                           231                           30                            261                           236                           30                            266                           212                           33                            245                           229                           33                            262                           226                           29                            255                           192                           23                            215                           229                           34                            263                           175                           28                            203                           85                            10                            95                            144                           17                            161                           122                           16                            138                           136                           11                            147                           91                            19                            110                           52                            3                             55                            47                            7                             54                            61                            6                             67                            40                            3                             43                            25                            5                             30                            33                            2                             35                            28                            2                             30                            34                            0                             34                            35                            6                             41                            18                            5                             23                            0                             0                             0                             3802                          
2602 CIN 26-B                 1082                          164                           35                            199                           147                           32                            179                           155                           30                            185                           144                           30                            174                           149                           30                            179                           128                           26                            154                           146                           30                            176                           126                           28                            154                           121                           21                            142                           91                            17                            108                           64                            19                            83                            69                            14                            83                            48                            9                             57                            55                            8                             63                            37                            8                             45                            41                            8                             49                            41                            7                             48                            38                            4                             42                            28                            4                             32                            25                            6                             31                            19                            4                             23                            16                            3                             19                            10                            1                             11                            20                            4                             24                            8                             0                             8                             15                            1                             16                            0                             0                             0                             2284                          
2603 CIN 26-C                 693                           98                            20                            118                           95                            17                            112                           95                            16                            111                           95                            17                            112                           100                           20                            120                           85                            16                            101                           94                            14                            108                           91                            20                            111                           82                            15                            97                            84                            4                             88                            63                            11                            74                            33                            3                             36                            48                            6                             54                            42                            3                             45                            35                            5                             40                            34                            1                             35                            24                            2                             26                            17                            4                             21                            25                            1                             26                            18                            1                             19                            11                            1                             12                            24                            4                             28                            10                            2                             12                            12                            0                             12                            12                            0                             12                            13                            1                             14                            0                             0                             0                             1544                          
2604 CIN 26-D                 1083                          79                            28                            107                           79                            29                            108                           87                            20                            107                           73                            21                            94                            73                            19                            92                            66                            14                            80                            67                            19                            86                            73                            18                            91                            63                            19                            82                            25                            9                             34                            24                            8                             32                            39                            8                             47                            12                            3                             15                            12                            5                             17                            10                            2                             12                            12                            4                             16                            24                            6                             30                            8                             2                             10                            10                            0                             10                            11                            7                             18                            27                            6                             33                            11                            2                             13                            16                            0                             16                            20                            1                             21                            13                            2                             15                            13                            1                             14                            0                             0                             0                             1200                          
2605 CIN 26-E                 1259                          111                           35                            146                           105                           41                            146                           112                           30                            142                           67                            24                            91                            71                            29                            100                           59                            25                            84                            64                            23                            87                            66                            25                            91                            68                            24                            92                            40                            19                            59                            48                            8                             56                            83                            19                            102                           17                            11                            28                            33                            7                             40                            11                            5                             16                            18                            2                             20                            49                            7                             56                            26                            4                             30                            12                            2                             14                            31                            11                            42                            36                            10                            46                            3                             1                             4                             16                            4                             20                            14                            0                             14                            12                            0                             12                            7                             2                             9                             1                             0                             1                             1548                          
2606 CIN 26-F                 844                           88                            24                            112                           79                            25                            104                           92                            20                            112                           69                            21                            90                            70                            23                            93                            57                            20                            77                            63                            18                            81                            59                            17                            76                            58                            13                            71                            35                            15                            50                            34                            13                            47                            51                            11                            62                            5                             3                             8                             19                            5                             24                            9                             2                             11                            14                            5                             19                            26                            14                            40                            21                            2                             23                            8                             3                             11                            15                            7                             22                            21                            8                             29                            7                             3                             10                            10                            0                             10                            15                            2                             17                            4                             0                             4                             6                             2                             8                             0                             0                             0                             1211                          
2607 CIN 26-G                 1008                          104                           21                            125                           98                            19                            117                           97                            18                            115                           103                           20                            123                           109                           19                            128                           105                           17                            122                           100                           17                            117                           86                            15                            101                           82                            17                            99                            100                           21                            121                           85                            13                            98                            44                            5                             49                            54                            14                            68                            57                            6                             63                            49                            12                            61                            48                            8                             56                            29                            4                             33                            24                            5                             29                            23                            5                             28                            16                            2                             18                            16                            2                             18                            17                            3                             20                            14                            1                             15                            24                            3                             27                            15                            4                             19                            18                            2                             20                            0                             0                             0                             1790                          
2608 CIN 26-H                 947                           33                            4                             37                            33                            4                             37                            37                            4                             41                            24                            1                             25                            31                            2                             33                            20                            2                             22                            20                            2                             22                            20                            2                             22                            22                            2                             24                            19                            3                             22                            15                            1                             16                            24                            2                             26                            9                             0                             9                             6                             0                             6                             3                             0                             3                             3                             2                             5                             12                            1                             13                            4                             1                             5                             7                             0                             7                             4                             0                             4                             15                            1                             16                            2                             0                             2                             4                             1                             5                             5                             1                             6                             7                             1                             8                             4                             2                             6                             0                             0                             0                             422                           
2609 CIN 26-I                 1095                          140                           30                            170                           130                           26                            156                           129                           28                            157                           130                           31                            161                           140                           25                            165                           111                           26                            137                           141                           20                            161                           120                           21                            141                           117                           21                            138                           138                           27                            165                           114                           28                            142                           64                            11                            75                            75                            14                            89                            70                            14                            84                            73                            14                            87                            60                            18                            78                            39                            3                             42                            32                            8                             40                            42                            8                             50                            34                            9                             43                            18                            2                             20                            34                            10                            44                            36                            6                             42                            27                            9                             36                            23                            11                            34                            21                            5                             26                            0                             0                             0                             2483                          
2610 CIN 26-J                 1308                          172                           57                            229                           163                           53                            216                           160                           50                            210                           125                           43                            168                           131                           40                            171                           104                           33                            137                           106                           35                            141                           94                            29                            123                           103                           34                            137                           68                            21                            89                            53                            19                            72                            115                           38                            153                           11                            6                             17                            49                            8                             57                            22                            8                             30                            29                            7                             36                            51                            18                            69                            44                            7                             51                            27                            3                             30                            36                            17                            53                            38                            18                            56                            17                            1                             18                            21                            3                             24                            15                            9                             24                            21                            6                             27                            14                            4                             18                            0                             0                             0                             2356                          
2611 CIN 26-K                 1277                          187                           33                            220                           186                           24                            210                           187                           19                            206                           179                           27                            206                           196                           28                            224                           183                           23                            206                           185                           22                            207                           173                           23                            196                           162                           25                            187                           154                           21                            175                           138                           16                            154                           87                            13                            100                           82                            9                             91                            67                            8                             75                            78                            8                             86                            66                            9                             75                            46                            7                             53                            27                            2                             29                            39                            5                             44                            23                            7                             30                            29                            9                             38                            35                            6                             41                            31                            6                             37                            32                            5                             37                            26                            4                             30                            39                            0                             39                            0                             0                             0                             2996                          
2612 CIN 26-L                 845                           87                            31                            118                           85                            28                            113                           77                            21                            98                            86                            23                            109                           90                            22                            112                           78                            19                            97                            84                            22                            106                           74                            19                            93                            72                            17                            89                            54                            19                            73                            35                            14                            49                            39                            9                             48                            26                            7                             33                            32                            6                             38                            27                            7                             34                            27                            8                             35                            16                            3                             19                            11                            2                             13                            13                            2                             15                            14                            6                             20                            13                            5                             18                            15                            5                             20                            11                            1                             12                            8                             5                             13                            11                            2                             13                            6                             2                             8                             1                             0                             1                             1397                          
